Spot Rates,Spot Inflation
0.014276713,0.0275
0.009271395,0.025898752
0.007948367,0.024998378
0.008753419,0.024723673
0.00908818,0.024898879
0.009594334,0.025331941
0.010217039,0.025912107
0.010945701,0.026559163
0.011555672,0.027228618
0.012150248,0.027883872
0.012693498,0.028492624
0.013141625,0.029058191
0.013522179,0.029567584
0.013855596,0.030018613
0.014144645,0.030409664
0.014378948,0.030739517
0.014562274,0.031018939
0.01469755,0.031245242
0.014792336,0
0.014857679,0
0.014893016,0
0.014897878,0
0.014884925,0
0.014856377,0
0.014814101,0
0.014759676,0
0.014698158,0
0.014630306,0
0.014553317,0
0.014468103,0
0.014375456,0
0.014272938,0
0.014167522,0
0.014056513,0
0.013946122,0
0.0138363,0
0.013726999,0
0.013618178,0
0.013512374,0
0.013409361,0
0.013308934,0
0.013308934,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
